word,ax,ay
입장,-0.26471975445747375,-1.844224452972412
태,0.32883957028388977,-1.5064404010772705
침투,0.10029621422290802,-0.8307307362556458
생,-0.04234589636325836,-1.5856305360794067
가보,0.3141626715660095,-1.3341729640960693
도둑질,0.1019580140709877,-0.9275616407394409
저주,-0.11539285629987717,-0.7617011070251465
사방,0.1463743895292282,-1.6366803646087646
학문,0.09757623076438904,-1.5214451551437378
냥,0.3830145001411438,-1.4471436738967896
위인,0.26935338973999023,-0.8211681842803955
오늘,-0.3498636484146118,-1.7060461044311523
습관,-0.2471424788236618,-1.9094442129135132
도착,0.23324179649353027,-1.6986175775527954
추가,0.2968030273914337,-1.2551350593566895
초보,0.016706552356481552,-0.1579722762107849
개자식,0.012937890365719795,-1.8113054037094116
모욕,0.0724264457821846,-0.849626362323761
만세,0.4434981346130371,-1.2356514930725098
한쪽,0.23935388028621674,-1.7145168781280518
비둘기,0.16079775989055634,-0.676167368888855
영웅,0.27352088689804077,-1.784669041633606
아버지,-0.05580190196633339,-1.7308534383773804
다음,-0.04064108803868294,-1.6777571439743042
성미,0.37706825137138367,-1.7762116193771362
저승사자,0.18128380179405212,-0.3416007459163666
소설,0.026094302535057068,-0.09199274331331253
제어,0.11959057301282883,-1.7810606956481934
차례,-0.09438434988260269,-1.8288507461547852
지식,0.008097013458609581,-1.0119645595550537
지시,0.2655576169490814,-1.330974817276001
생활,-1.0484634637832642,-2.207463026046753
앞쪽,0.05977405980229378,-1.4710694551467896
향수,-0.04199749231338501,-0.43506044149398804
넋,0.12228324264287949,-1.5927478075027466
절제,0.17532560229301453,-1.2607825994491577
절정,-0.08095677196979523,-1.743342399597168
가관,0.21533514559268951,-0.5290275812149048
합류,0.2534322142601013,-1.4306105375289917
모용,0.2675621211528778,-2.0859060287475586
웃음소리,0.020079132169485092,-1.7406716346740723
통박,0.03426969051361084,-0.9372363686561584
봉공,0.0472763329744339,-1.4719297885894775
목욕,0.14002269506454468,-1.4199424982070923
서,0.32307881116867065,-1.048017144203186
석,0.08117347955703735,-1.532442569732666
선,-0.09442967921495438,-1.8715248107910156
작용,0.36855006217956543,-1.6140187978744507
손색,0.30154168605804443,-1.5815459489822388
구석,0.06887722760438919,-1.6737926006317139
설,0.013694039545953274,-1.3613802194595337
손상,0.2847369611263275,-1.3794450759887695
섬,0.17102690041065216,-1.0020118951797485
섭,0.46170639991760254,-1.6558359861373901
고수,-0.11009564995765686,-1.7945618629455566
스스로,-0.12421733886003494,-1.7837666273117065
간격,0.11499147117137909,-1.6768436431884766
터,-0.22270096838474274,-1.7191754579544067
성,0.4209507405757904,-1.7493375539779663
턱,0.2923743426799774,-1.7678444385528564
해제,0.26070043444633484,-1.5985968112945557
인내심,-0.010683066211640835,-1.34098219871521
구덩이,-0.022996211424469948,-0.946978747844696
세,-0.18428879976272583,-1.737913966178894
털,0.27741578221321106,-1.4136122465133667
지팡이,-0.041822709143161774,-0.3832765817642212
덩이,0.06978894025087357,-1.4770506620407104
최대,0.0026722843758761883,-1.7864559888839722
덕망,-0.13242511451244354,-0.5190443992614746
녀,-0.11560709029436111,-0.8726106286048889
기름,0.32382190227508545,-0.6311193704605103
한자리,0.19447249174118042,-1.226787805557251
결전,0.0194740928709507,-0.48197659850120544
무예,0.1470463126897812,-1.9900965690612793
속셈,-0.1325029879808426,-1.2312538623809814
승복,0.0629991665482521,-1.1832973957061768
일류,0.027717864140868187,-1.3489158153533936
년,-0.8546499609947205,-1.8359812498092651
광채,0.25652050971984863,-1.3384228944778442
셈,0.15300865471363068,-1.3213953971862793
인마,0.923380970954895,-1.598589539527893
인질,0.17678743600845337,-1.7079936265945435
반면,0.18562372028827667,-1.080837368965149
왕초,0.025072546675801277,-1.7888301610946655
여지,0.06456293910741806,-1.6830917596817017
테,-0.12252723425626755,-1.767775058746338
구성,0.3376244306564331,-1.7803906202316284
사건,0.0531088225543499,-1.800497055053711
텐,-0.05139726400375366,-1.6785117387771606
인지,0.3518466353416443,-1.4742704629898071
알갱이,-0.13723640143871307,-0.49905964732170105
지파,0.13976189494132996,-1.9823012351989746
비위,0.3610626757144928,-1.1368666887283325
충만,0.18197548389434814,-1.8375601768493652
악취,0.30854853987693787,-1.666490912437439
잘못된,0.32307663559913635,-1.5600556135177612
요양,0.1578214466571808,-0.8737327456474304
웃음기,-9.550284594297409E-4,-0.5725248456001282
탄지,0.03596753999590874,-2.081141948699951
여인네,0.22772853076457977,-1.6612844467163086
예외,0.15819862484931946,-1.8206090927124023
종류,-0.014012367464601994,-1.1708321571350098
한군데,0.004310786724090576,-1.211950659751892
울음소리,-0.10201279073953629,-0.35055387020111084
환호성,0.2360541820526123,-0.6337877511978149
천명,-0.003951000981032848,-0.5119438171386719
결정,0.32693424820899963,-1.5401586294174194
은사,0.2564852833747864,-1.6859140396118164
압박,0.009102235548198223,-0.8898683786392212
노,0.4257951080799103,-1.5148354768753052
녹,0.26991093158721924,-1.8947312831878662
밤중,0.48836204409599304,-1.3943750858306885
섬광,0.4407939016819,-1.4715174436569214
말세,0.14081133902072906,-1.3828285932540894
환경,0.2625962197780609,-0.7682331800460815
성격,0.023245366290211678,-1.825269341468811
표면,-0.032579123973846436,-0.9544660449028015
변화,-0.31058284640312195,-1.9748659133911133
아빠,0.2492097020149231,-0.8706403374671936
열중,0.18398915231227875,-0.42088404297828674
경우,-0.14809280633926392,-1.7126247882843018
자유,-0.003622265998274088,-2.007633686065674
놈,-0.5055455565452576,-1.6984771490097046
핑계,0.12888148427009583,-0.705864429473877
기만,-0.03511659428477287,-1.5028035640716553
조각,0.006385345011949539,-1.0454665422439575
소,0.4000799059867859,-1.5557656288146973
산채,0.3125131130218506,-0.9164906144142151
속,-0.326466828584671,-1.6829745769500732
산책,0.06865129619836807,-0.44427937269210815
변환,-0.020412664860486984,-0.9214249849319458
손,0.21112355589866638,-1.6478466987609863
아까,-0.04435436800122261,-1.7720675468444824
한마디,-0.1653277575969696,-1.8325577974319458
